SC2,SC3,SC4,B2b,H9New,H10,H11,H12,Z1,Z5,Z10,WEIGHT
7,1,4812,4,2,2,4.0,3.0,4,8,2,0.54
7,1,4810,2,2,2,,,4,3,2,0.54
7,1,4805,6,3,1,,,5,8,2,0.54
7,1,4802,4,6,1,4.0,4.0,6,8,2,0.54
7,1,4802,5,4,1,4.0,4.0,4,8,2,0.54
7,1,4741,4,3,1,3.0,3.0,6,8,2,0.54
7,1,4740,2,1,1,2.0,3.0,6,8,2,0.54
7,1,4740,3,3,1,4.0,3.0,6,8,2,0.54
7,1,4737,3,2,1,3.0,3.0,5,3,2,0.54
7,1,4702,3,3,1,4.0,3.0,6,8,2,0.54
7,1,4702,4,4,2,3.0,3.0,6,8,2,0.54
7,1,4701,5,3,1,4.0,3.0,6,8,2,0.54
7,1,4700,5,5,1,5.0,5.0,6,8,2,0.54
7,1,4700,5,5,1,5.0,4.0,4,8,2,0.54
7,1,4680,4,4,1,,,6,8,2,0.54
7,1,4680,4,3,1,3.0,4.0,6,7,2,0.54
7,1,4680,4,3,1,4.0,3.0,6,7,2,0.54
7,1,4670,3,1,2,1.0,2.0,6,7,2,0.54
7,1,4670,4,3,1,4.0,4.0,6,8,2,0.54
7,1,4670,4,3,1,3.0,4.0,6,8,2,0.54
7,1,4670,2,3,1,4.0,4.0,6,8,2,0.54
7,1,4670,4,4,1,,,5,8,2,0.54
7,1,4670,4,4,2,4.0,3.0,5,8,2,0.54
7,1,4655,5,4,1,4.0,3.0,6,8,2,0.54
7,1,4655,3,2,2,3.0,3.0,6,8,2,0.54
7,1,4655,5,3,2,4.0,5.0,5,8,2,0.54
7,1,4655,6,6,1,,,3,8,2,0.54
7,1,4650,4,4,1,,,6,6,1,0.54
7,1,4650,4,3,1,4.0,4.0,5,8,2,0.54
7,1,4650,1,1,1,,,5,8,2,0.54
7,1,4650,5,3,1,4.0,4.0,6,8,2,0.54
7,1,4650,5,4,1,4.0,4.0,5,8,2,0.54
7,1,4650,5,3,2,3.0,3.0,6,97,2,0.54
7,1,4650,3,3,1,3.0,3.0,6,3,2,0.54
7,1,4650,3,2,1,2.0,3.0,6,8,2,0.54
7,1,4650,3,4,1,4.0,3.0,6,8,2,0.54
7,1,4650,5,4,1,,,5,8,2,0.54
7,1,4650,4,6,1,4.0,3.0,6,97,2,0.54
7,1,4625,3,3,1,3.0,3.0,6,8,2,0.54
7,1,4614,6,3,1,4.0,4.0,6,8,1,0.54
7,1,4580,3,1,1,1.0,1.0,6,8,2,0.54
7,1,4570,4,4,1,4.0,4.0,6,2,2,0.54
7,1,4352,5,6,1,5.0,5.0,6,8,2,0.54
7,1,4350,5,4,1,4.0,3.0,6,7,2,0.54
7,1,4350,6,2,1,2.0,1.0,6,8,2,0.54
7,1,4350,4,4,1,4.0,4.0,6,7,2,0.54
7,1,4350,5,4,1,4.0,4.0,6,8,2,0.54
7,1,4350,5,5,1,5.0,4.0,6,3,2,0.54
7,1,4350,6,4,1,4.0,4.0,6,8,2,0.54
7,1,4304,4,3,2,4.0,3.0,6,8,2,0.54
7,1,4304,4,4,1,4.0,3.0,6,8,2,0.54
7,1,4301,3,3,2,2.0,3.0,6,8,2,0.54
7,1,4301,4,4,1,4.0,4.0,6,8,2,0.54
7,1,4301,4,3,1,4.0,4.0,6,8,2,0.54
7,1,4300,4,4,1,4.0,4.0,6,8,2,0.54
7,1,4300,2,3,1,3.0,3.0,6,8,2,0.54
7,1,4300,4,4,2,5.0,4.0,6,8,2,0.54
6,1,4880,3,3,1,4.0,3.0,6,8,2,0.67
6,1,4878,3,3,1,3.0,3.0,6,3,1,0.67
6,1,4870,2,2,2,2.0,3.0,6,8,2,0.67
6,1,4870,4,6,1,4.0,3.0,6,3,2,0.67
6,1,4870,5,5,1,3.0,2.0,6,8,2,0.67
6,1,4869,3,6,1,3.0,3.0,6,8,2,0.67
