SC2,SC3,SC4,B2b,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E1_11,E1_12,E1_13,E1_14,E1_15,E1_16,E1_15_TEXT,E2,E3,E3_TEXT,E8,E8a,E7,H1,H3_1,H3_2,H3_3,H3_4,H3_5,H3_6,H3_7,H7_1,H7_2,H7_3,H7_4,H7_5,H7_5_TEXT,H8,H9New,H10,H11,H12,Z1,Z5,Z5_TEXT,Z10,WEIGHT
5,1,4227,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,97,Direct Debit,2,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,,1,3,2,3,3,6,3,,2,2.14
5,1,4133,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,1,2,0,1,0,0,0,1,0,0,0,0,0,0,,1,5,1,1,3,6,8,,2,2.14
2,1,4207,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,8,3,,1,,4,99,1,1,1,1,0,1,0,0,0,0,1,0,,1,5,1,4,5,2,2,,2,5.59
2,1,4116,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,,1,3,,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,,2,1,2,2,3,3,2,,2,5.59
2,1,4069,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,5,,1,,3,2,0,1,1,1,0,1,0,0,0,0,0,0,,1,3,1,3,3,6,7,,1,5.59
2,1,4701,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,2,2,2,99,1,0,0,0,0,0,0,1,0,0,0,0,,2,2,2,2,2,4,1,,2,6.27
3,2,4870,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,11,3,,1,,3,1,1,0,0,0,1,0,0,1,0,1,0,0,,1,3,1,3,3,3,3,,1,0.63
3,2,4860,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,8,5,,1,,3,2,0,1,0,1,0,1,0,0,0,0,0,0,,2,3,1,3,3,6,5,,2,0.63
3,2,4818,99,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,3,99,0,0,0,0,0,0,1,0,0,0,0,0,,99,3,2,3,3,6,5,,2,0.63
3,2,4814,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,5,2,0,1,0,0,0,1,0,0,0,0,0,0,,1,4,1,4,4,6,4,,2,0.63
3,2,4810,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,4,2,0,0,0,0,1,1,0,0,0,0,0,0,,1,4,1,4,3,6,3,,2,0.63
3,2,4741,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,4,2,0,1,0,1,0,0,0,0,0,0,0,0,,1,3,1,4,4,5,4,,1,0.63
3,2,4077,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,3,2,0,0,1,0,0,0,0,0,0,0,0,0,,1,3,1,3,3,4,3,,1,0.63
3,2,26,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,4,2,,1,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,,2,4,2,4,3,6,1,,2,0.63
3,2,4560,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,3,1,3,4,6,7,,2,0.66
3,2,4558,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,5,,1,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,2,1,3,2,6,3,,2,0.66
3,2,4508,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,registered a dog,15,3,,1,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,4,1,4,3,2,4,,2,0.66
3,2,4500,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,3,3,,1,,5,2,1,0,0,0,0,0,0,0,1,0,0,0,,1,4,1,4,2,5,6,,2,0.66
3,2,4227,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,8,3,,2,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,,2,3,2,3,3,1,3,,2,0.66
3,2,4213,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,,1,,5,99,1,1,1,1,1,1,0,0,1,0,0,0,,1,5,1,5,1,3,5,,1,0.66
3,2,4211,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,,2,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,,1,3,2,3,3,3,4,,2,0.66
3,2,4207,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,5,3,,2,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,,1,3,1,3,3,6,4,,2,0.66
3,2,4170,5,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,,4,97,Car dealer registered my car,2,1,4,99,1,1,0,1,0,1,0,1,1,1,1,0,,1,4,1,4,4,3,1,,1,0.66
3,2,4157,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,1,0,0,0,0,0,0,0,0,0,0,,1,6,2,,,4,3,,2,0.66
3,2,4119,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,1,3,,1,,3,2,1,1,0,1,0,1,0,0,1,0,0,0,,1,3,1,3,3,4,3,,2,0.66
3,2,4118,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,99,0,1,1,0,1,1,0,0,0,0,0,0,,1,3,1,,,2,8,,2,0.66
3,2,4114,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,5,,1,,4,2,0,1,0,0,0,1,0,0,0,0,0,0,,1,4,1,3,3,2,6,,1,0.66
3,2,4101,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,,1,,3,1,0,0,0,1,0,0,0,0,1,0,0,0,,1,4,1,4,4,2,2,,1,0.66
3,2,4066,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,,8,3,,2,1,1,99,0,0,0,1,0,0,0,0,0,0,0,0,,1,4,1,4,3,1,97,Supported accommodation,2,0.66
3,2,4064,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,6,2,,1,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,,2,4,2,4,2,6,1,,2,0.66
3,2,4036,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,6,1,,2,2,1,2,1,0,1,1,1,0,0,0,0,0,1,0,,2,1,2,1,4,6,4,,2,0.66
3,2,4022,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,,1,,3,1,1,0,0,0,0,0,0,0,0,0,1,0,,1,3,1,3,3,4,4,,1,0.66
3,2,4011,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,0,0,0,0,0,1,0,0,0,0,0,,2,3,1,,,6,2,,2,0.66
3,2,4000,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,,5,3,,1,,3,2,0,1,1,1,0,1,0,0,0,0,0,0,,2,2,1,3,2,6,3,,2,0.66
4,2,4881,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,10,2,,1,,5,99,1,1,0,0,0,1,0,1,0,0,0,0,,99,4,1,4,2,6,6,,1,0.67
4,2,4871,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,5,97,car yard,1,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,3,1,3,3,6,4,,2,0.67
