SC2,SC3,SC4,Z1,Z5,Z10
7,2,4860,6,8,2
7,2,4818,5,3,1
7,2,4815,6,8,2
7,2,4810,6,8,2
7,2,4805,6,8,2
7,2,4740,6,8,2
7,2,4702,6,8,2
7,2,4701,6,7,1
7,2,4680,2,8,2
7,2,4680,2,8,2
7,2,4680,6,8,2
7,2,4670,6,3,2
7,2,4670,5,8,2
7,2,4655,6,8,2
7,2,4655,6,8,2
7,2,4650,6,8,2
7,2,4615,6,8,2
7,2,4580,6,8,1
7,2,4580,6,8,2
7,2,4570,6,2,2
7,2,4570,6,8,2
7,2,4570,6,8,2
7,2,4352,6,8,2
7,2,4350,6,8,2
7,2,4343,6,7,2
7,2,4343,6,7,2
7,2,4304,6,6,2
5,2,4870,4,6,1
5,2,4870,5,3,1
5,2,4870,4,8,2
5,2,4870,5,2,2
5,2,4818,6,7,2
5,2,4814,6,7,2
5,2,4812,2,7,2
5,2,4810,3,6,2
5,2,4703,6,8,2
5,2,4700,6,7,2
5,2,4680,4,7,2
5,2,4670,6,8,1
5,2,4670,6,3,2
5,2,4670,6,7,2
5,2,4670,5,5,2
5,2,4660,6,3,2
5,2,4655,4,3,1
5,2,4655,6,6,1
5,2,4655,6,8,2
5,2,4655,6,7,2
5,2,4655,3,6,2
5,2,4570,4,3,2
5,2,4570,6,3,2
5,2,4350,6,8,2
5,2,4300,6,7,2
6,2,4512,6,8,2
6,2,4510,6,8,2
6,2,4508,6,8,2
6,2,4506,6,8,2
6,2,4500,6,3,2
6,2,4305,6,7,2
6,2,4227,6,3,2
6,2,4220,6,8,2
6,2,4217,6,7,2
6,2,4216,3,8,2
6,2,4209,6,8,2
6,2,4207,6,8,2
6,2,4207,6,8,2
6,2,4178,6,8,2
6,2,4178,6,8,2
6,2,4165,2,8,2
6,2,4159,6,8,2
6,2,4157,4,7,2
6,2,4152,6,8,2
6,2,4133,6,8,2
6,2,4132,5,8,2
6,2,4125,6,9,2
6,2,4124,6,8,2
6,2,4123,6,3,2
6,2,4120,6,8,2
6,2,4074,6,7,2
6,2,4053,6,7,2
6,2,4035,6,3,2
6,2,4014,6,8,2
6,2,4005,6,8,2
6,2,4000,6,7,2
5,2,4506,6,3,2
5,2,4504,6,3,2
5,2,4503,6,7,2
5,2,4306,4,7,2
5,2,4226,6,3,2
5,2,4223,6,7,2
5,2,4217,2,8,2
5,2,4210,5,7,2
5,2,4207,6,7,2
5,2,4151,6,8,2
5,2,4127,6,9,2
5,2,4114,6,7,2
5,2,4105,6,3,2
5,2,4053,6,8,2
5,2,4012,6,2,2
7,1,4873,1,8,2
7,1,4870,6,8,2
7,1,4870,6,3,2
7,1,4817,6,3,2
7,1,4814,6,8,2
7,1,4814,6,8,2
7,1,4740,6,8,2
7,1,4701,6,8,2
7,1,4650,6,8,2
7,1,4650,5,8,2
7,1,4570,6,8,2
7,1,4341,6,3,2
6,1,4879,2,8,2
6,1,4870,6,8,2
6,1,4870,6,6,2
6,1,4869,6,8,2
6,1,4869,6,3,2
